Name_1,Mod,Nc,Q,C,Fn,f1,mag1_1,f2,mu02,f3,mag3,f4,mu04,f5,mag5,mag1_2,mag2,mstar,dmean,type,t_1,incl,Dist,__T_,__F_
IC1438,_bdbar,3,5,BAR,ferrer2,,,,,,,0.191,20.376,,,11.842,12.323,10.487,33.8,Sa,1.2,23.81,33.8,0.0,0.5
IC1870,_dbar,2,5,BAR,ferrer2,,,,,,,0.093,21.856,,,12.985,13.379,9.408,17.8,Sm,9.0,63.27,,8.5,1.0
IC1914,_dbarn,3,5,BAR,ferrer2,,,,,,,0.064,22.032,,,13.201,13.606,9.347,18.137,SABc,6.9,42.85,18.1,5.5,0.12
IC1933,_dbar,2,5,BAR,ferrer2,,,,,,,0.033,20.355,,,12.802,13.197,9.588,20.091,Sc,6.2,59.43,20.1,9.5,1.0
IC1953,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.032,20.291,,,11.84,12.235,10.149,24.64,Sc,6.2,59.84,,5.0,1.0
IC1954,_dbar,2,5,BAR,ferrer2,,,,,,,0.03,18.427,,,11.277,11.671,9.959,15.287,Sb,3.2,57.83,15.3,6.0,1.0
IC2035,_dbarn,3,5,BAR,ferrer2,,,,,,,0.157,17.071,,,11.564,12.045,9.975,16.5,E-S0,-2.6,40.64,16.5,-2.5,0.5
IC2051,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.028,19.931,,,10.755,11.18,10.578,23.89,SBbc,4.1,55.19,,3.0,0.88
IC3021,_dbarfn,3,5,BAR,ferrer2,,,,,,,0.011,22.361,,,15.206,15.64,9.182,,Sm,9.0,58.92,32.0,11.0,1.0
IC3115,_dbar,2,5,BAR,ferrer2,,,,,,,0.028,21.859,,,13.613,14.089,9.29,19.333,Sc,5.5,46.42,23.0,6.0,1.0
IC3476,_dbar,2,5,BAR,ferrer2,,,,,,,0.138,21.204,,,12.929,13.332,9.194,13.45,IB,9.6,51.2,17.0,9.0,0.38
